codigo_ccif;nivel;ejemplo;tipo;frase_original;;;;;;
01.1.9.01.04;Producto;preparaciones elaboradas a base de cereales;excluido;preparaciones elaboradas a base de cereales, como sopas preparadas a base de cereales (01.1.9.01.04);;;;;;
01.1.9.02.01;Producto;cereales de arroz para bebés;excluido;cereales de arroz para bebés y otros cereales para bebés (01.1.9.02.01);;;;;;
01.1.9.02.01;Producto;otros cereales para bebés;excluido;cereales de arroz para bebés y otros cereales para bebés (01.1.9.02.01);;;;;;
01.1.9.09.01;Producto;sopas;excluido;sopas y cremas en polvo (01.1.9.09.01);;;;;;
01.1.9.09.01;Producto;cremas en polvo;excluido;sopas y cremas en polvo (01.1.9.09.01);;;;;;
09.3.1.02.02;Producto;semillas para siembra;excluido;semillas para siembra (09.3.1.02.02);;;;;;
01.1.1.01.01;Producto;arroz de todos los tipos;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz grado 1;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz para sopa;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz sin grado;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz especialidades de preparación rápida;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz a granel;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz integral;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz para sushi;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.01;Producto;arroz tipo primavera para cocinar;incluido;arroz de todos los tipos como arroz grado 1, grado 2, grado 3, sea grano corto, largo o partido, arroz para sopa, arroz sin grado;;;;;;
01.1.1.01.02;Producto;maíz seco;incluido;maíz seco;;;;;;
01.1.7.04.06;Producto;choclos frescos;excluido;choclos frescos (01.1.7.04.06);;;;;;
01.1.7.08.01;Producto;choclos congelados;excluido;choclos congelados (01.1.7.08.01);;;;;;
01.1.7.09.03;Producto;choclos en conserva;excluido;choclos en conserva (01.1.7.09.03);;;;;;
01.1.1.01.03;Producto;quinoa;incluido;quinoa;;;;;;
01.1.1.02.99;Producto;harina de quinoa;excluido;harina de quinoa (01.1.1.02.99);;;;;;
01.1.1.09.02;Producto;quinoa pop;excluido;quinoa pop (01.1.1.09.02);;;;;;
01.1.1.01.04;Producto;avena en grano;incluido;avena en grano;;;;;;
01.1.1.04.01;Producto;avena instantánea;excluido;avena instantánea (01.1.1.04.01);;;;;;
01.1.1.04.01;Producto;avena tradicional (cruda);excluido;avena tradicional (cruda) (01.1.1.04.01);;;;;;
01.1.1.01.99;Producto;trigo;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;germen;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;salvado de trigo;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;sorgo;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;cebada;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;mijo;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;teff;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;bulgur (o burgul);incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;centeno;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;triticale;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;alforfón (o trigo sarraceno);incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;alpiste;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;quihuicha;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;trigo inca;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;canagua;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;cañahua;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;cañihua;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;kañiwa;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;adlay;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.01.99;Producto;granos de cereales mezclados;incluido;trigo, germen y salvado de trigo, sorgo, cebada, mijo, teff, bulgur (o burgul), centeno, triticale, alforfón (o trigo sarraceno), alpiste, quihuicha o trigo inca, canagua o cañahua, cañihua o kañiwa, adlay o las lágrimas de Job, granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.09.99;Producto;mote;excluido;mote o trigo mote (01.1.1.09.99);;;;;;
01.1.1.09.99;Producto;trigo mote;excluido;mote o trigo mote (01.1.1.09.99);;;;;;
01.1.1.02.00;Subclase;harina de los cereales mencionados en la subclase 01.1.1.01.00;incluido;harina de los cereales mencionados en la subclase 01.1.1.01.00;;;;;;
01.1.1.02.00;Subclase;harina instantánea para productos de panadería;incluido;harina instantánea para productos de panadería o que contiene levaduras;;;;;;
01.1.1.02.00;Subclase;harina de polenta;incluido;harina de polenta, ya sea instantánea (precocida) o no;;;;;;
01.1.9.02.01;Producto;harina;excluido;harina como alimento para bebés, cereales de arroz para bebés y otros cereales para bebés (01.1.9.02.01);;;;;;
01.1.9.02.01;Producto;alimento para bebés;excluido;harina como alimento para bebés, cereales de arroz para bebés y otros cereales para bebés (01.1.9.02.01);;;;;;
01.1.1.02.01;Producto;harina de trigo envasada;incluido;harina de trigo envasada, a granel, harina de flor, con o sin polvos de hornear, harina de fuerza;;;;;;
01.1.1.02.01;Producto;harina de flor;incluido;harina de trigo envasada, a granel, harina de flor, con o sin polvos de hornear, harina de fuerza;;;;;;
01.1.1.02.01;Producto;harina de fuerza;incluido;harina de trigo envasada, a granel, harina de flor, con o sin polvos de hornear, harina de fuerza;;;;;;
01.1.1.02.99;Producto;harina integral de trigo;excluido;harina integral de trigo (01.1.1.02.99);;;;;;
01.1.1.09.01;Producto;mezclas para productos de panadería;excluido;mezclas para productos de panadería, por ejemplo, mezclas para pan, tortas o queques (01.1.1.09.01);;;;;;
01.1.1.09.01;Producto;mezclas para pan;excluido;mezclas para productos de panadería, por ejemplo, mezclas para pan, tortas o queques (01.1.1.09.01);;;;;;
01.1.1.09.01;Producto;tortas;excluido;mezclas para productos de panadería, por ejemplo, mezclas para pan, tortas o queques (01.1.1.09.01);;;;;;
01.1.1.09.01;Producto;queques;excluido;mezclas para productos de panadería, por ejemplo, mezclas para pan, tortas o queques (01.1.1.09.01);;;;;;
01.1.8.01.01;Producto;azúcar flor;excluido;azúcar flor (01.1.8.01.01);;;;;;
01.1.1.02.99;Producto;harina de arroz;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de fécula de maíz (maicena);incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina integral de todos los cereales (incluido trigo);incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de cebada;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de linaza;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de quinoa;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de arvejón;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina tostada;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;harina de polenta;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.1.02.99;Producto;otras harinas de los cereales incluidos en la subclase 01.1.1.01.00;incluido;harina de arroz, harina de fécula de maíz (maicena), harina integral de todos los cereales (incluido trigo), harina de cebada, harina de linaza, harina de quinoa, harina de arvejón, harina tostada, harina de polenta y otras harinas de los cereales incluidos en la subclase 01.1.1.01.00, excepto la harina de trigo blanca;;;;;;
01.1.6.09.99;Producto;harina de frutas;excluido;harina de frutas y frutos secos (01.1.6.09.99);;;;;;
01.1.6.09.99;Producto;frutos secos;excluido;harina de frutas y frutos secos (01.1.6.09.99);;;;;;
01.1.7.09.01;Producto;harina de legumbres;excluido;harina de legumbres, hortalizas, tubérculos y bananas de cocción (01.1.7.09.01);;;;;;
01.1.7.09.01;Producto;hortalizas;excluido;harina de legumbres, hortalizas, tubérculos y bananas de cocción (01.1.7.09.01);;;;;;
01.1.7.09.01;Producto;tubérculos;excluido;harina de legumbres, hortalizas, tubérculos y bananas de cocción (01.1.7.09.01);;;;;;
01.1.7.09.01;Producto;bananas de cocción;excluido;harina de legumbres, hortalizas, tubérculos y bananas de cocción (01.1.7.09.01);;;;;;
01.1.1.03.00;Subclase;pan;incluido;pan y panecillos;;;;;;
01.1.1.03.00;Subclase;panecillos;incluido;pan y panecillos;;;;;;
01.1.1.03.00;Subclase;pan crujiente;incluido;pan crujiente, bizcochos, pan tostado, galletas saladas;;;;;;
01.1.1.03.00;Subclase;bizcochos;incluido;pan crujiente, bizcochos, pan tostado, galletas saladas;;;;;;
01.1.1.03.00;Subclase;pan tostado;incluido;pan crujiente, bizcochos, pan tostado, galletas saladas;;;;;;
01.1.1.03.00;Subclase;galletas saladas;incluido;pan crujiente, bizcochos, pan tostado, galletas saladas;;;;;;
01.1.1.03.00;Subclase;tortillas;incluido;tortillas;;;;;;
01.1.1.03.00;Subclase;injera (o inyera);incluido;injera (o inyera);;;;;;
01.1.1.03.00;Subclase;bases de pizza sin cubrir;incluido;bases de pizza sin cubrir o sin ingredientes (masa de pizza), ya sean precocidas o no;;;;;;
01.1.1.03.00;Subclase;pan de jengibre;incluido;pan de jengibre y similares;;;;;;
01.1.1.03.00;Subclase;galletas dulces;incluido;galletas dulces;;;;;;
01.1.1.03.00;Subclase;waffles;incluido;waffles y obleas;;;;;;
01.1.1.03.00;Subclase;obleas;incluido;waffles y obleas;;;;;;
01.1.1.03.00;Subclase;conos de helado;incluido;conos de helado;;;;;;
01.1.1.03.00;Subclase;bollos;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;muffins;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;croissant;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;pasteles;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;tartas dulces;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;pasteles dulces;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;otros productos de pastelería;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.1.03.00;Subclase;tortas;incluido;bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas;;;;;;
01.1.9.01.00;Subclase;pizza (con agregados);excluido;pizza (con agregados), quiches, pasteles de carne o pescado (01.1.9.01.00);;;;;;
01.1.9.01.00;Subclase;quiches;excluido;pizza (con agregados), quiches, pasteles de carne o pescado (01.1.9.01.00);;;;;;
01.1.9.01.00;Subclase;pasteles de carne;excluido;pizza (con agregados), quiches, pasteles de carne o pescado (01.1.9.01.00);;;;;;
01.1.9.01.00;Subclase;pescado;excluido;pizza (con agregados), quiches, pasteles de carne o pescado (01.1.9.01.00);;;;;;
01.1.1.03.01;Producto;pan fresco corriente a granel;incluido;pan fresco corriente a granel como marraqueta (pan batido o pan francés), hallulla;;;;;;
01.1.1.03.01;Producto;marraqueta (pan batido o pan francés);incluido;pan fresco corriente a granel como marraqueta (pan batido o pan francés), hallulla;;;;;;
01.1.1.03.01;Producto;hallulla;incluido;pan fresco corriente a granel como marraqueta (pan batido o pan francés), hallulla;;;;;;
01.1.1.03.10;Producto;panes dulces;excluido;panes dulces, por ejemplo, pan de nata, pan de anís, pan de huevo, pan brioche (01.1.1.03.10);;;;;;
01.1.1.03.10;Producto;pan de nata;excluido;panes dulces, por ejemplo, pan de nata, pan de anís, pan de huevo, pan brioche (01.1.1.03.10);;;;;;
01.1.1.03.10;Producto;pan de anís;excluido;panes dulces, por ejemplo, pan de nata, pan de anís, pan de huevo, pan brioche (01.1.1.03.10);;;;;;
01.1.1.03.10;Producto;pan de huevo;excluido;panes dulces, por ejemplo, pan de nata, pan de anís, pan de huevo, pan brioche (01.1.1.03.10);;;;;;
01.1.1.03.10;Producto;pan brioche;excluido;panes dulces, por ejemplo, pan de nata, pan de anís, pan de huevo, pan brioche (01.1.1.03.10);;;;;;
01.1.1.03.02;Producto;pan especial a granel;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan flauta;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan cocktail;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan baguette;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan pita;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan integral;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan centeno;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;pan amasado;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
01.1.1.03.02;Producto;bollos;incluido;pan especial a granel como pan flauta, pan cocktail, pan baguette, pan pita, pan integral, pan centeno, pan amasado, bollos, pan frica, pan para hamburguesa, pan para completo, pan coliza, pan de hoja, hallulla especial, pan de ajo, dobladitas y otros tipos de pan especial a granel;;;;;;
